tm_name;tm_position;nationality;age;club;last_update;market_value_euro
Vitor Roque;Centroavante;Brasil;20;SE Palmeiras;10/12/2025;35000000.0
Rayan;Centroavante;Brasil;19;CR Vasco da Gama;10/12/2025;25000000.0
Yuri Alberto;Centroavante;Brasil;24;SC Corinthians;10/12/2025;22000000.0
Kaio Jorge;Centroavante;Brasil;23;Cruzeiro EC;10/12/2025;22000000.0
Danilo;Volante;Brasil;24;Botafogo FR;10/12/2025;22000000.0
José Manuel López;Centroavante;Argentina;25;SE Palmeiras;10/12/2025;20000000.0
Samuel Lino;Ponta Esquerda;Brasil;26;CR Flamengo;10/12/2025;20000000.0
Pedro;Centroavante;Brasil;28;CR Flamengo;10/12/2025;18000000.0
Gerson;Meia Central;Brasil;28;Cruzeiro EC;16/12/2025;18000000.0
Andreas Pereira;Meia Ofensivo;Brasil;30;SE Palmeiras;10/12/2025;15000000.0
Léo Ortiz;Zagueiro;Brasil;30;CR Flamengo;10/12/2025;15000000.0
Giorgian de Arrascaeta;Meia Ofensivo;Uruguai;31;CR Flamengo;10/12/2025;15000000.0
Joaquín Piquerez;Lateral Esq.;Uruguai;27;SE Palmeiras;10/12/2025;14000000.0
Breno Bidon;Meia Central;Brasil;20;SC Corinthians;10/12/2025;14000000.0
Martinelli;Volante;Brasil;24;Fluminense FC;10/12/2025;14000000.0
Matheus Pereira;Meia Ofensivo;Brasil;29;Cruzeiro EC;10/12/2025;14000000.0
Facundo Torres;Ponta Direita;Uruguai;25;SE Palmeiras;10/12/2025;13000000.0
Mauricio;Meia Ofensivo;Brasil;24;SE Palmeiras;10/12/2025;12000000.0
Paulinho;Ponta Esquerda;Brasil;25;SE Palmeiras;10/12/2025;12000000.0
Jean Lucas;Meia Central;Brasil;27;EC Bahia;10/12/2025;12000000.0
Rodrigo Garro;Meia Ofensivo;Argentina;28;SC Corinthians;10/12/2025;12000000.0
Luis Sinisterra;Ponta Esquerda;Colômbia;26;Cruzeiro EC;10/12/2025;12000000.0
Fabrício Bruno;Zagueiro;Brasil;29;Cruzeiro EC;10/12/2025;12000000.0
Hércules;Meia Central;Brasil;25;Fluminense FC;10/12/2025;12000000.0
Renan Lodi;Lateral Esq.;Brasil;27;Atlético Mineiro;21/10/2025;12000000.0
Ramón Sosa;Ponta Esquerda;Paraguai;26;SE Palmeiras;10/12/2025;11000000.0
Agustín Giay;Lateral Dir.;Argentina;21;SE Palmeiras;10/12/2025;11000000.0
Luciano Juba;Lateral Esq.;Brasil;26;EC Bahia;10/12/2025;11000000.0
Santiago Ramos Mingo;Zagueiro;Argentina;24;EC Bahia;10/12/2025;11000000.0
Erick Pulga;Ponta Esquerda;Brasil;25;EC Bahia;10/12/2025;11000000.0
Jhon Jhon;Meia Ofensivo;Brasil;23;RB Bragantino;10/12/2025;11000000.0
Gabriel Brazão;Goleiro;Brasil;25;Santos FC;10/12/2025;11000000.0
Raphael Veiga;Meia Ofensivo;Brasil;30;SE Palmeiras;10/12/2025;10000000.0
Hugo Souza;Goleiro;Brasil;26;SC Corinthians;10/12/2025;10000000.0
Allan;Meia Ofensivo;Brasil;21;SE Palmeiras;10/12/2025;10000000.0
Vitão;Zagueiro;Brasil;25;CR Flamengo;10/12/2025;10000000.0
Agustín Rossi;Goleiro;Argentina;30;CR Flamengo;10/12/2025;10000000.0
Léo Pereira;Zagueiro;Brasil;29;CR Flamengo;10/12/2025;10000000.0
Kaiki;Lateral Esq.;Brasil;22;Cruzeiro EC;10/12/2025;10000000.0
Christian;Meia Central;Brasil;25;Cruzeiro EC;10/12/2025;10000000.0
Álvaro Montoro;Meia Ofensivo;Argentina;18;Botafogo FR;10/12/2025;10000000.0
