player;nationality;position;team;age;matches;minutes;goals;assists;xg;tm_name_match;market_value_euro;tm_position;last_update;kpi_cost_per_goal;kpi_moneyball
Abner;BRA;Defensor;Juventude;20;19;1318;0;1;0.3;N/A;0.0;N/A;N/A;0.0;0.0
Nicolás Acevedo;URU;Meio-Campista;Bahia;25;32;1690;0;1;1.2;N/A;0.0;N/A;N/A;0.0;0.0
Luciano Acosta;ARG;Meio-Campista;Fluminense;30;16;1199;3;2;3.0;N/A;0.0;N/A;N/A;0.0;0.0
Adriel;BRA;Meio-Campista;Sport Recife;18;5;148;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Adson;BRA;Atacante;Vasco da Gama;24;10;210;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Braian Aguirre;ARG;Defensor;Internacional;24;30;2389;1;0;0.8;N/A;0.0;N/A;N/A;0.0;0.0
Carlos Alberto;BRA;Atacante;Sport Recife;22;9;330;0;0;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Yuri Alberto;BRA;Atacante;Corinthians;23;26;2005;10;2;11.2;Yuri Alberto;22000000.0;Centroavante;10/12/2025;2200000.0;10.55
José Aldo;BRA;Meio-Campista;Mirassol;26;30;1369;0;1;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Alesson;BRA;Atacante;Mirassol;25;26;1456;6;5;6.1;N/A;0.0;N/A;N/A;0.0;0.0
Caio Alexandre;BRA;Meio-Campista;Bahia;25;21;1303;0;1;0.3;Caio Alexandre;7000000.0;Volante;10/12/2025;0.0;1.86
Matheus Alexandre;BRA;Defensor;Sport Recife;25;26;1779;0;1;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Alexsander;BRA;Meio-Campista;Atlético Mineiro;21;14;828;1;0;0.7;Alexsander;6000000.0;Volante;10/12/2025;6000000.0;2.83
Alisson;BRA;Meio-Campista;São Paulo;31;31;1960;0;1;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Allan;BRA;Meio-Campista;Palmeiras;20;28;921;2;3;1.4;Allan;10000000.0;Meia Ofensivo;10/12/2025;5000000.0;6.4
Allan;BRA;Meio-Campista;Botafogo (RJ);34;21;965;0;0;0.1;Allan;10000000.0;Meia Ofensivo;10/12/2025;0.0;0.1
Allan;BRA;Meio-Campista;Flamengo;27;13;683;0;0;0.2;Allan;10000000.0;Meia Ofensivo;10/12/2025;0.0;0.2
Allanzinho;BRA;Meio-Campista;Fortaleza;24;9;287;0;2;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Júnior Alonso;PAR;Defensor;Atlético Mineiro;31;31;2610;1;1;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Dyogo Alves;BRA;Goleiro;Flamengo;21;1;90;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Matheus Alves;BRA;Meio-Campista;São Paulo;19;8;371;0;1;0.3;N/A;0.0;N/A;N/A;0.0;0.0
Francis Amuzu;BEL;Atacante;Grêmio;25;22;1145;4;2;2.1;Francis Amuzu;5000000.0;Ponta Esquerda;10/12/2025;1250000.0;16.2
Felipe Anderson;BRA;Meio-Campista;Palmeiras;31;31;1773;4;2;2.3;N/A;0.0;N/A;N/A;0.0;0.0
Kervin Andrade;VEN;Atacante;Fortaleza;19;7;163;0;1;0.3;N/A;0.0;N/A;N/A;0.0;0.0
André;BRA;Meio-Campista;Corinthians;18;9;315;2;0;0.7;N/A;0.0;N/A;N/A;0.0;0.0
José Andrés Martínez;VEN;Meio-Campista;Corinthians;30;24;1396;1;1;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Wilker Ángel;VEN;Defensor;Juventude;31;18;1423;1;0;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Fabrizio Angileri;ARG;Defensor;Corinthians;30;28;1638;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Anthoni;BRA;Goleiro;Internacional;23;18;1530;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Marcos Antônio;BRA;Meio-Campista;São Paulo;24;28;1896;0;4;0.4;Marcos Antônio;9000000.0;Meia Central;10/12/2025;0.0;4.89
Léo Aragão;BRA;Goleiro;Cruzeiro;22;4;334;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Guilherme Arana;BRA;Defensor;Atlético Mineiro;27;25;1748;1;1;1.9;Guilherme Arana;7000000.0;Lateral Esq.;10/12/2025;7000000.0;5.57
Willian Arão;BRA;Meio-Campista;Santos;32;13;779;0;0;0.3;N/A;0.0;N/A;N/A;0.0;0.0
Luiz Araújo;BRA;Atacante;Flamengo;28;35;1765;7;3;3.5;Luiz Araújo;7000000.0;Ponta Direita;10/12/2025;1000000.0;19.29
Matheus Araújo;BRA;Meio-Campista;Ceará;22;11;270;1;1;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Michel Araujo;URU;Meio-Campista;Bahia;28;24;852;4;1;1.3;N/A;0.0;N/A;N/A;0.0;0.0
Alexander Aravena;CHI;Atacante;Grêmio;22;22;581;3;0;3.7;N/A;0.0;N/A;N/A;0.0;0.0
Robert Arboleda;ECU;Defensor;São Paulo;33;24;2057;3;0;1.6;N/A;0.0;N/A;N/A;0.0;0.0
Lucas Arcanjo;BRA;Goleiro;Vitória;26;29;2545;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Matias Arezo;URU;Atacante;Grêmio;22;8;268;1;1;0.9;N/A;0.0;N/A;N/A;0.0;0.0
Jhon Arias;COL;Atacante;Fluminense;27;12;1079;1;4;2.2;N/A;0.0;N/A;N/A;0.0;0.0
Santiago Arias;COL;Defensor;Bahia;33;21;1419;0;0;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Keny Arroyo;ECU;Atacante;Cruzeiro;18;13;646;2;1;2.0;Keny Arroyo;9000000.0;Ponta Direita;10/12/2025;4500000.0;5.56
Arthur;BRA;Atacante;Sport Recife;21;6;200;0;0;0.3;Artur;7000000.0;Ponta Direita;10/12/2025;0.0;0.43
Artur;BRA;Atacante;Botafogo (RJ);26;28;1917;5;4;5.1;Artur;7000000.0;Ponta Direita;10/12/2025;1400000.0;20.14
Rodrigo Atencio;ARG;Meio-Campista;Sport Recife;22;19;544;0;0;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Loide Augusto;ANG;Atacante;Vasco da Gama;24;10;192;0;0;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Leo Augusto Pereira;BRA;Atacante;Vitória;24;6;166;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Leo Augusto Pereira;BRA;Atacante;Sport Recife;24;16;1108;3;1;2.7;N/A;0.0;N/A;N/A;0.0;0.0
Renato Augusto;BRA;Meio-Campista;Fluminense;36;2;20;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Gastón Ávila;ARG;Defensor;Fortaleza;23;27;2321;0;0;0.9;N/A;0.0;N/A;N/A;0.0;0.0
